date,KO,PEP
1972-06-01,0.0288565438240767,0.390466034412384
1972-06-02,0.028747446835041,0.389337450265884
1972-06-05,0.0286928806453943,0.38481017947197
1972-06-06,0.0284474138170481,0.381414800882339
1972-06-07,0.0283110458403826,0.379151284694672
1972-06-08,0.0283460598438978,0.379151284694672
1972-06-09,0.0282366182655096,0.379717141389847
1972-06-12,0.0280177313834429,0.378585636615753
1972-06-13,0.0280177313834429,0.383112519979477
1972-06-14,0.0282366182655096,0.387073814868927
1972-06-15,0.0282366182655096,0.385942339897156
1972-06-16,0.0284007750451565,0.38537609577179
1972-06-19,0.0286196749657393,0.384244352579117
1972-06-20,0.0288385562598705,0.384244352579117
1972-06-21,0.0291121788322926,0.38481017947197
1972-06-22,0.0291121788322926,0.387073814868927
1972-06-23,0.029166903346777,0.389337509870529
1972-06-26,0.029166903346777,0.385942339897156
1972-06-27,0.0291121788322926,0.383678436279297
1972-06-28,0.0291121788322926,0.383112519979477
1972-06-29,0.0291121788322926,0.383112519979477
1972-06-30,0.029221611097455,0.379717141389847
1972-07-03,0.0292763262987137,0.379151284694672
1972-07-05,0.0295773036777973,0.379717141389847
1972-07-06,0.0300971493124962,0.383678436279297
1972-07-07,0.0298782680183649,0.378019362688065
1972-07-10,0.0298235658556223,0.378019362688065
1972-07-11,0.0297141131013632,0.380849093198776
1972-07-12,0.0296594128012657,0.381414800882339
1972-07-13,0.0296046677976847,0.383678436279297
1972-07-14,0.0296594128012657,0.39725998044014
1972-07-17,0.0297961886972189,0.39499643445015
1972-07-18,0.0298782680183649,0.39046922326088
1972-07-19,0.0296046677976847,0.385942339897156
1972-07-20,0.0297688320279121,0.382546633481979
1972-07-21,0.0300424341112375,0.383678436279297
1972-07-24,0.0304254908114672,0.384244352579117
1972-07-25,0.0307538136839867,0.38537609577179
1972-07-26,0.0308085586875677,0.388205856084824
1972-07-27,0.0317935422062874,0.40065523982048
1972-07-28,0.0314104668796062,0.396128118038177
1972-07-31,0.0310821440070868,0.395562469959259
1972-08-01,0.0321766100823879,0.39952352643013
1972-08-02,0.0319029651582241,0.402919203042984
1972-08-03,0.0315746665000916,0.398391842842102
1972-08-04,0.0310274437069893,0.398391842842102
1972-08-07,0.0310274437069893,0.397826224565506
1972-08-08,0.0311368927359581,0.395562469959259
1972-08-09,0.0313010513782501,0.396128118038177
1972-08-10,0.0316841192543507,0.396128118038177
1972-08-11,0.0318482778966427,0.39669394493103
1972-08-14,0.0317661836743355,0.398957699537277
1972-08-15,0.031519927084446,0.397826224565506
1972-08-16,0.0317935422062874,0.39669394493103
1972-08-17,0.0316841192543507,0.39725998044014
1972-08-18,0.0318482778966427,0.397826224565506
1972-08-21,0.0317388288676739,0.39952352643013
1972-08-22,0.0317935422062874,0.39952352643013
1972-08-23,0.0317388288676739,0.398391842842102
1972-08-24,0.031519927084446,0.39499643445015
1972-08-25,0.0305896569043398,0.39499643445015
1972-08-28,0.0304802302271128,0.393298834562302
1972-08-29,0.0308632608503103,0.39669394493103
1972-08-30,0.0309179797768593,0.393864512443542
1972-08-31,0.0309179797768593,0.39046922326088
1972-09-01,0.0310274437069893,0.394442200660706
1972-09-05,0.0308632608503103,0.390469461679459
1972-09-06,0.0306717436760664,0.389901787042618
1972-09-07,0.0305896569043398,0.387631714344025
1972-09-08,0.0303503572940826,0.385361462831497
1972-09-11,0.0301308147609234,0.385361462831497
1972-09-12,0.0295271147042513,0.38422629237175
1972-09-13,0.02963687479496,0.383658766746521
1972-09-14,0.0296094361692667,0.38422629237175
1972-09-15,0.0293075833469629,0.376848220825195
1972-09-18,0.0289233978837729,0.373442977666855
1972-09-19,0.029088044539094,0.368335396051407
1972-09-20,0.0291429292410612,0.36720010638237
1972-09-21,0.0294173378497362,0.367767661809921
1972-09-22,0.0297466646879911,0.361524671316147
1972-09-25,0.0295271147042513,0.354146778583527
1972-09-26,0.0299113094806671,0.357551544904709
1972-09-27,0.0304052513092756,0.373442977666855
1972-09-28,0.0308442711830139,0.375713169574738
1972-09-29,0.0309540592133999,0.378551065921783
1972-10-02,0.030542453750968,0.372307658195496
1972-10-03,0.0306796561926603,0.370605379343033
1972-10-04,0.030514994636178,0.373442977666855
1972-10-05,0.0300210472196341,0.37174066901207
1972-10-06,0.0304052513092756,0.374578237533569
1972-10-09,0.0305699054151773,0.375145673751831
1972-10-10,0.0309540592133999,0.374578237533569
1972-10-11,0.0307894069701433,0.374010503292084
1972-10-12,0.0301856994628906,0.368902623653412
1972-10-13,0.0299661625176668,0.36379486322403
1972-10-16,0.0298289824277163,0.361524671316147
1972-10-17,0.0297466646879911,0.362659603357315
1972-10-18,0.0298564061522484,0.367767661809921
1972-10-19,0.0298564061522484,0.368902623653412
1972-10-20,0.0302954725921154,0.367767661809921
1972-10-23,0.0308991931378841,0.372307658195496
1972-10-24,0.0311735924333334,0.377983301877975
1972-10-25,0.0311187263578176,0.382523655891418
1972-10-26,0.0312833674252033,0.384793937206268
1972-10-27,0.0313931331038475,0.380821079015732
1972-10-30,0.031667560338974,0.37741556763649
1972-10-31,0.0315577797591686,0.379118353128433
1972-11-01,0.0314480029046535,0.379118353128433
1972-11-02,0.0309540592133999,0.381956309080124
1972-11-03,0.0313931331038475,0.388199120759964
1972-11-06,0.0315028689801693,0.387064337730408
1972-11-08,0.0311187263578176,0.388766705989838
1972-11-09,0.0309540592133999,0.389334470033646
1972-11-10,0.0309540592133999,0.388199120759964
1972-11-13,0.0307894069701433,0.389334470033646
1972-11-14,0.0311735924333334,0.394442200660706
